day,Growth,,,,
1,0.071428571,,,,
2,0.033333333,,,,
3,0.096774194,,,,
4,0.147058824,,,,
5,0.230769231,,,,
6,0.3125,,,,
7,0.111111111,,,,
8,0.171428571,,,,
9,0.109756098,,,,
10,0.175824176,,,,
11,0.056074766,,,,
12,0.123893805,,,,
13,0.149606299,,,,
14,0.171232877,,,,
15,0.16374269,,,,
16,0.296482412,,,,
17,0.294573643,,,,
18,0.206586826,,,,
19,0.253101737,,,,
20,0.130693069,,,,
21,0.15061296,,,,
22,0.118721461,,,,
23,0.205442177,,,,
24,0.161399549,,1029,,1029
25,0.106899903,0.1364,1169.3556,0.042,1072.218
26,0.18261633,0.125,1315.52505,0.0306,1105.027871
27,0.201930215,0.1136,1464.968696,0.0192,1126.244406
28,0.271772699,0.1022,1614.688496,0.0078,1135.029112
29,0.236036911,0.0908,1761.302212,-0.0036,
30,0.221218075,0.0794,1901.149607,-0.015,
31,,0.068,2030.427781,-0.0264,
32,,0.0566,2145.349993,-0.0378,
33,,0.0452,2242.319813,-0.0492,
34,,0.0338,2318.110223,-0.0606,
35,,0.0224,2370.035892,-0.072,
36,,0.011,2396.106286,-0.0834,
37,,-0.0004,2395.147844,-0.0948,
38,,-0.0118,2366.885099,-0.1062,
39,,-0.0232,2311.973365,-0.1176,
40,,-0.0346,2231.979087,-0.129,
41,,-0.046,2129.308049,-0.1404,
42,,-0.0574,2007.085767,-0.1518,
43,,-0.0688,1868.998266,-0.1632,
44,,-0.0802,1719.104605,-0.1746,
45,,-0.0916,1561.634623,-0.186,
